Question,Answer,Source,Metadata,SuggestedQuestions,IsContextOnly,Prompts,QnaId
Academic librarian,Academic librarian,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""2"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""3"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""4"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""5"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""6"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""7"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""8"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""7"", ""QnaId"": ""9"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""10"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""11"", ""DisplayText"": ""Career prospects""}]",1
Academic librarian Responsibilities,Academic librarian Responsibilities,Editorial,,[],FALSE,,2
Academic librarian Salary,Academic librarian Salary,Editorial,,[],FALSE,,3
Academic librarian Working hours,Academic librarian Working hours,Editorial,,[],FALSE,,4
Academic librarian What to expect,Academic librarian What to expect,Editorial,,[],FALSE,,5
Academic librarian Qualifications,Academic librarian Qualifications,Editorial,,[],FALSE,,6
Academic librarian Skills,Academic librarian Skills,Editorial,,[],FALSE,,7
Academic librarian Work experience,Academic librarian Work experience,Editorial,,[],FALSE,,8
Academic librarian Employers,Academic librarian Employers,Editorial,,[],FALSE,,9
Academic librarian Professional development,Academic librarian Professional development,Editorial,,[],FALSE,,10
Academic librarian Career prospects,Academic librarian Career prospects,Editorial,,[],FALSE,,11
Academic researcher,Academic researcher,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""13"", ""DisplayText"": ""Types of academic researcher""},{""DisplayOrder"": ""1"", ""QnaId"": ""14"", ""DisplayText"": ""Responsibilities ""},{""DisplayOrder"": ""2"", ""QnaId"": ""15"", ""DisplayText"": ""Salary  ""},{""DisplayOrder"": ""3"", ""QnaId"": ""16"", ""DisplayText"": ""Working hours ""},{""DisplayOrder"": ""4"", ""QnaId"": ""17"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""5"", ""QnaId"": ""18"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""6"", ""QnaId"": ""19"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""7"", ""QnaId"": ""20"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""8"", ""QnaId"": ""21"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""9"", ""QnaId"": ""22"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""10"", ""QnaId"": ""23"", ""DisplayText"": ""Career prospects""}]",12
Academic researcher Types of academic researcher,Academic researcher Types of academic researcher,Editorial,,[],FALSE,,13
Academic researcher Responsibilities ,Academic researcher Responsibilities ,Editorial,,[],FALSE,,14
Academic researcher Salary  ,Academic researcher Salary  ,Editorial,,[],FALSE,,15
Academic researcher Working hours ,Academic researcher Working hours ,Editorial,,[],FALSE,,16
Academic researcher What to expect,Academic researcher What to expect,Editorial,,[],FALSE,,17
Academic researcher Qualifications,Academic researcher Qualifications,Editorial,,[],FALSE,,18
Academic researcher Skills,Academic researcher Skills,Editorial,,[],FALSE,,19
Academic researcher Work experience,Academic researcher Work experience,Editorial,,[],FALSE,,20
Academic researcher Employers,Academic researcher Employers,Editorial,,[],FALSE,,21
Academic researcher Professional development,Academic researcher Professional development,Editorial,,[],FALSE,,22
Academic researcher Career prospects,Academic researcher Career prospects,Editorial,,[],FALSE,,23
Accommodation manager,Accommodation manager,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""25"", ""DisplayText"": ""Types of accommodation manager""},{""DisplayOrder"": ""1"", ""QnaId"": ""26"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""2"", ""QnaId"": ""27"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""3"", ""QnaId"": ""28"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""4"", ""QnaId"": ""29"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""5"", ""QnaId"": ""30"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""6"", ""QnaId"": ""31"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""7"", ""QnaId"": ""32"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""8"", ""QnaId"": ""33"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""9"", ""QnaId"": ""34"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""10"", ""QnaId"": ""35"", ""DisplayText"": ""Career prospects""}]",24
Accommodation manager Types of accommodation manager,Accommodation manager Types of accommodation manager,Editorial,,[],FALSE,,25
Accommodation manager Responsibilities,Accommodation manager Responsibilities,Editorial,,[],FALSE,,26
Accommodation manager Salary,Accommodation manager Salary,Editorial,,[],FALSE,,27
Accommodation manager Working hours,Accommodation manager Working hours,Editorial,,[],FALSE,,28
Accommodation manager What to expect,Accommodation manager What to expect,Editorial,,[],FALSE,,29
Accommodation manager Qualifications,Accommodation manager Qualifications,Editorial,,[],FALSE,,30
Accommodation manager Skills,Accommodation manager Skills,Editorial,,[],FALSE,,31
Accommodation manager Work experience,Accommodation manager Work experience,Editorial,,[],FALSE,,32
Accommodation manager Employers,Accommodation manager Employers,Editorial,,[],FALSE,,33
Accommodation manager Professional development,Accommodation manager Professional development,Editorial,,[],FALSE,,34
Accommodation manager Career prospects,Accommodation manager Career prospects,Editorial,,[],FALSE,,35
Accounting technician,Accounting technician,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""37"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""38"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""39"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""40"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""41"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""42"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""43"", ""DisplayText"": ""Work experience ""},{""DisplayOrder"": ""7"", ""QnaId"": ""44"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""45"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""46"", ""DisplayText"": ""Career prospects""}]",36
Accounting technician Responsibilities,Accounting technician Responsibilities,Editorial,,[],FALSE,,37
Accounting technician Salary,Accounting technician Salary,Editorial,,[],FALSE,,38
Accounting technician Working hours,Accounting technician Working hours,Editorial,,[],FALSE,,39
Accounting technician What to expect,Accounting technician What to expect,Editorial,,[],FALSE,,40
Accounting technician Qualifications,Accounting technician Qualifications,Editorial,,[],FALSE,,41
Accounting technician Skills,Accounting technician Skills,Editorial,,[],FALSE,,42
Accounting technician Work experience ,Accounting technician Work experience ,Editorial,,[],FALSE,,43
Accounting technician Employers,Accounting technician Employers,Editorial,,[],FALSE,,44
Accounting technician Professional development,Accounting technician Professional development,Editorial,,[],FALSE,,45
Accounting technician Career prospects,Accounting technician Career prospects,Editorial,,[],FALSE,,46
Acoustic consultant,Acoustic consultant,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""48"", ""DisplayText"": ""Work environment""},{""DisplayOrder"": ""1"", ""QnaId"": ""49"", ""DisplayText"": ""Responsibilities ""},{""DisplayOrder"": ""2"", ""QnaId"": ""50"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""3"", ""QnaId"": ""51"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""4"", ""QnaId"": ""52"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""5"", ""QnaId"": ""53"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""6"", ""QnaId"": ""54"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""7"", ""QnaId"": ""55"", ""DisplayText"": ""Work experience ""},{""DisplayOrder"": ""8"", ""QnaId"": ""56"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""9"", ""QnaId"": ""57"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""10"", ""QnaId"": ""58"", ""DisplayText"": ""Career prospects ""}]",47
Acoustic consultant Work environment,Acoustic consultant Work environment,Editorial,,[],FALSE,,48
Acoustic consultant Responsibilities ,Acoustic consultant Responsibilities ,Editorial,,[],FALSE,,49
Acoustic consultant Salary,Acoustic consultant Salary,Editorial,,[],FALSE,,50
Acoustic consultant Working hours,Acoustic consultant Working hours,Editorial,,[],FALSE,,51
Acoustic consultant What to expect,Acoustic consultant What to expect,Editorial,,[],FALSE,,52
Acoustic consultant Qualifications,Acoustic consultant Qualifications,Editorial,,[],FALSE,,53
Acoustic consultant Skills,Acoustic consultant Skills,Editorial,,[],FALSE,,54
Acoustic consultant Work experience ,Acoustic consultant Work experience ,Editorial,,[],FALSE,,55
Acoustic consultant Employers,Acoustic consultant Employers,Editorial,,[],FALSE,,56
Acoustic consultant Professional development,Acoustic consultant Professional development,Editorial,,[],FALSE,,57
Acoustic consultant Career prospects ,Acoustic consultant Career prospects ,Editorial,,[],FALSE,,58
Actor,Actor,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""60"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""1"", ""QnaId"": ""61"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""2"", ""QnaId"": ""62"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""3"", ""QnaId"": ""63"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""4"", ""QnaId"": ""64"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""5"", ""QnaId"": ""65"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""6"", ""QnaId"": ""66"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""7"", ""QnaId"": ""67"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""8"", ""QnaId"": ""68"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""9"", ""QnaId"": ""69"", ""DisplayText"": ""Career prospects""}]",59
Actor Responsibilities,Actor Responsibilities,Editorial,,[],FALSE,,60
Actor Salary,Actor Salary,Editorial,,[],FALSE,,61
Actor Working hours,Actor Working hours,Editorial,,[],FALSE,,62
Actor What to expect,Actor What to expect,Editorial,,[],FALSE,,63
Actor Qualifications,Actor Qualifications,Editorial,,[],FALSE,,64
Actor Skills,Actor Skills,Editorial,,[],FALSE,,65
Actor Work experience,Actor Work experience,Editorial,,[],FALSE,,66
Actor Employers,Actor Employers,Editorial,,[],FALSE,,67
Actor Professional development,Actor Professional development,Editorial,,[],FALSE,,68
Actor Career prospects,Actor Career prospects,Editorial,,[],FALSE,,69
Actuarial analyst,Actuarial analyst,Editorial,,[],FALSE,"[{""DisplayOrder"": ""0"", ""QnaId"": ""71"", ""DisplayText"": ""Types of actuarial analyst""},{""DisplayOrder"": ""1"", ""QnaId"": ""72"", ""DisplayText"": ""Responsibilities""},{""DisplayOrder"": ""2"", ""QnaId"": ""73"", ""DisplayText"": ""Salary""},{""DisplayOrder"": ""3"", ""QnaId"": ""74"", ""DisplayText"": ""Working hours""},{""DisplayOrder"": ""4"", ""QnaId"": ""75"", ""DisplayText"": ""What to expect""},{""DisplayOrder"": ""5"", ""QnaId"": ""76"", ""DisplayText"": ""Qualifications""},{""DisplayOrder"": ""6"", ""QnaId"": ""77"", ""DisplayText"": ""Skills""},{""DisplayOrder"": ""7"", ""QnaId"": ""78"", ""DisplayText"": ""Work experience""},{""DisplayOrder"": ""8"", ""QnaId"": ""79"", ""DisplayText"": ""Employers""},{""DisplayOrder"": ""9"", ""QnaId"": ""80"", ""DisplayText"": ""Professional development""},{""DisplayOrder"": ""10"", ""QnaId"": ""81"", ""DisplayText"": ""Career prospects""}]",70
Actuarial analyst Types of actuarial analyst,Actuarial analyst Types of actuarial analyst,Editorial,,[],FALSE,,71
Actuarial analyst Responsibilities,Actuarial analyst Responsibilities,Editorial,,[],FALSE,,72
Actuarial analyst Salary,Actuarial analyst Salary,Editorial,,[],FALSE,,73
Actuarial analyst Working hours,Actuarial analyst Working hours,Editorial,,[],FALSE,,74
Actuarial analyst What to expect,Actuarial analyst What to expect,Editorial,,[],FALSE,,75
Actuarial analyst Qualifications,Actuarial analyst Qualifications,Editorial,,[],FALSE,,76
Actuarial analyst Skills,Actuarial analyst Skills,Editorial,,[],FALSE,,77
Actuarial analyst Work experience,Actuarial analyst Work experience,Editorial,,[],FALSE,,78
Actuarial analyst Employers,Actuarial analyst Employers,Editorial,,[],FALSE,,79
Actuarial analyst Professional development,Actuarial analyst Professional development,Editorial,,[],FALSE,,80
Actuarial analyst Career prospects,Actuarial analyst Career prospects,Editorial,,[],FALSE,,81
